"type","question","options","answer"
"单选题","《政府采购代理机构管理暂行办法》所称的政府采购代理机构是指（）。","A. 集中采购机构和受采购人委托从事政府采购代理业务的社会中介机构
B. 集中米购机构
C. 集中采购机构以外、受采购人委托从事政府采购代理业务的社会中介机构
D. 受采购人委托从事政府采购代理业务的采购代理机构","C"
"单选题","各级人民政府0依法对采购代理机构从事政府采购代理业务进行监督管理。","A. 监察部门
B. 纪检部门
C. 财政部门
D. 发展改革部门","C"
"单选题","政府采购代理机构实行（）。","A. 资格认定管理
B. 名录登记管理
C. 名录准入管理
D. 资格审核管理","B"
"单选题","0依托中国政府采购网省级分网建立政府采购代理机构名录。","A. 设区市财政部门
B. 市级财政部门
C. 省级财政部门
D. 财政部","C"
"单选题","政府采购代理机构名录信息（）。","A. 省级区域肉共享无须向社会公开
B. 省级区域肉共享并向社会公开
C. 全国共享无须向社会公开
D. 全国共享并向社会公开","D"
"单选题","采购代理机构应当通过0省级分网填报以下信息申请进入名录，并承诺对信息真实性负责。","A. 资格认定管理地
B. 资格审核管理地
C. 工商登记注册地
D. 政府采购从业地","C"
"单选题","采购代理机构登记信息发生变更的，应当在信息变更之日起0内自行更新。","A. 10个工作曰
B. 100
C. 7个工作日
D. 7曰","A"
"单选题","采购人应当根据项目特点、代理机构专业领域和综合信用评价结果，从名录中（）代理机构。","A. 摇号选择
B. 遽选
C. 抽签选择
D. 自主择优选择","D"
"单选题","采购文件的保存期限为从采购结束之日起至少（）。","A. 五年
B. 十年
C. 十五年
D. 二十年","C"
"单选题","下列哪一项不属于采购代理机构在中国政府采购网省级分网进行名录登记时需要填报的信息。0","A. 代理机构名称、统一社会信用代码、办公场所地址、联系电话等机构信息
B. 法定代表人及专职从业人员有效身份证明等个人信息；内部监督管理制度
C. 在自有场所组织评审工作的，应当提供评审场所地址、监控设备设施情况
D. 市级财政部门要求提供的其他材料","D"
"单选题","采购代理机构应当严格按照0依法依规开展政府采购代理业务。","A. 按照委托代理协议的约定
B. 按照与采购人的口头约定
C. 按照采购代理机构负责人的要求
D. 按照采购监管机构的要求","A"
"单选题","采购代理机构（）在采购文件中明示代理费用收取方式及标准，随中标、成交结果一并公开本项目收费情况，包括具体收费标准及收费金额等。","A. 可以
B. 应当
C. 需要
D. 视情况","B"
"单选题","对代理机构的监督检查结果应当在（） 以上财政部门指定的政府采购信息发布媒体向社会公开。","A. 省级
B. 设区市级
C. 市级
D. 县级","A"
"单选题","根据《政府采购代理机构管理暂行办法»,采购代理机构在代理政府采购业务时，下列哪项行为不属于应当追究法律责任的违法行为？（）","A. 擅自变更采购文件或者采购结果的
B. 与采购人、供应商恶意串通的
C. 在采购过程中接受贿赂或者获取其他不正当利益的
D. 为了提高工作效率，将部分非核心辅助工作分包给其他具备资质的机构完成","D"
"单选题","0可根据《政府采购代理机构管理暂行办法》规定制定具体实施办法。","A. 省级人民政府
B. 省级财政部门
C. 市级人民政府
D. 市级财政部门","B"
"单选题","关于采购代理机构的名录登记，以下说法错误的是（）。","A. 省级财政部门依托中国政府采购网省级分网建立政府采购代理机构名录
B. 登记信息发生变更的，代理机构应当在信息变更之日起10日肉自行更新
C. 代理机构登记信息不完整的，财政部门应当及时告知其完善登记资料
D. 代理机构登记信息完整清晰的，财政部门应当及时为其开通相关政府采购管理交易系统信息发布、专家抽取等操作权限","B"
"单选题","代理机构登记信息不完整的，0应当及时告知其完善登记资料","A. 中国政府采购网省级分网
B. 中国政府采购网
C. 财政部门
D. 监察部门","C"
"单选题","政府采购代理机构在其注册地省级行政区划以外从业的，应当向从业地财政部门申请开通政府采购管理交易系统相关操作权限，从业地财政部门（）。","A. 不得要求其重复提交登记材料
B. 可以要求其重新提交登记材料
C. 应当要求其在从业地设立分支机构
D. 可以要求其在从业地设立分支机构","A"
"单选题","采购代理机构注销时，应当向0移交档案。","A. 政府采购监管部门
B. 财政部门
C. 相关米购人
D. 相关供应商","C"
"单选题","采购代理机构注销时，应当（）。","A. 销毁档案
B. 向相关采购人移交档案
C. 向相关行政主管部门移交档案
D. 及时向注册地所在设区的市级财政部门办理名录注销手续","B"
"单选题","采购代理机构注销时，应当及时向注册地所在0办理名录注销手续。","A. 财政部
B. 省级财政部门
C. 市级财政部门
D. 县级财政部门","B"
"单选题","根据《政府采购代理机构管理暂行办法 »,采购代理机构代理政府采购业务，应当拥有不少于0熟悉政府采购法律法规、具备编制采购文件和组织采购活动等相应能力的专职从业人员。","A. 3名
B. 5名
C. 10名
D. 15名","B"
"单选题","有关政府采购代理费用，说法错误的是（）","A. 可以由中标供应商支付
B. 可以由成交供应商支付
C. 可以由采购人支付
D. 可以由采购监管部门支付","D"
"单选题","供应商可W在采购活动结束后0内，在政府采购信用评价系统中记录代理机构的职责履行情况。","A. 5曰
B. 5个工作日
C. 7曰
D. 7个工作日","B"
"单选题","某代理机构被所在地省级财政部门依法作出了 ""禁止其一年肉代理政府采购业务""的行政处罚。处罚决定下达时，该机构尚有呈个已签订委托代理协议的项目处于不同阶段：项目一未启动；项目二己完成需求沟通对接，采购文件己定稿；项目王己完成评审即将发布中标公告。根据《暂行办法》，该代理机构及采购人应如何处置这呈个项目？","A. 呈个项目均可由该代理机构继续执行完毕，以保障项目连续性和采购人利益
B. 项目一、二必须立即终止委托协议，项目三可由该代理机构负责完成后续蒂后下作
C. 项目一必须终止，项目二、兰因己开始执行，为减少损失，应继续由该机构完成
D. 所有项目必须立即全部终止，由采购人重新委托其他代理机构","B"
"单选题","某高校委托""致远代理公司""采购一批精密实验设备，项目预算为1亿元（该地分散采购限额标准为30万元）。双方在委托协议中约定代理费为40万元。根据《暂行办法》关于代理费用支付的规定，以下哪种收费方案是明确合规的？","A. 根据谁委托，谁付费原则，代理费只能由高校直接从项目财政资金中列支支付给致远公司
B. 代理费由中标供应商支付，且在招标文件中明确告知所有投标人，该40万元费用将包含在合同总价中，由中标供应商在领取中标通知书前一次性付清
C. 代理费由中标供应商支付，招标文件仅写明""代理费由中标人支付，具体金额另行协商""，未明示标准
D. 为保障代理机构权益，协议约定无论项目是否成交，采购人均需支付5万元基础服务费","B"
"单选题","根据《政府采购代理机构管理暂行办法》，以下说法错误的是（）。","A. 代理机构在其注册地省级行政区划以外从业的，应当向从业地财政部门申请开通政府采购管理交易系统相关操作权限
B. 代理机构应当对名录登记中代理机构名称、统一社会信用代码、办公场所地址、联系电话等机构信息的真实性负责
C. 代理机构应当根据从业地财政部门要求再次提交登记材料
D. 代理机构注销时，应当向相关采购人移交档案，并及时向注册地所在省级财政部门办理名录注销手续","C"
"单选题","根据《政府采购代理机构管理暂行办法»,有关采购代理机构代理政府采购业务应当具备的条件，错误的是（）。","A. 具有独立承担民事责任的能力
B. 建立完善的政府采购内部监督管理制度
C. 拥有不少于3名熟悉政府采购法律法规、具备编制采购文件和组织采购活动等相应能力的专职从业人员
D. 具备独立办公场所和代理政府采购业务所必需的办公条件","C"
"单选题","根据《政府采购代理机构管理暂行办法»,下列哪一项不属于采购人从名录中自主择优选择政府采购代理机构的依据（）。","A. 项目特点
B. 代理机构专业领域
C. 代理机构综合信用评价结果
D. 代理机构收费情况","D"
"单选题","根据《政府采购代理机构管理暂行办法»,采购代理机构代理政府采购业务，在自有场所组织评审工作的，应当具备必要的评审场地和录音录像等监控设备设施并符合0规定的标准。","A. 省级人民政府
B. 省级财政部n
C. 市级人民政府
D. 市级财政部（）","A"
"多选题","根据《政府采购代理机构管理暂行办法》，代理机构的名录登记信息包括（）0","A. 代理机构名称、统一社会信用代码
B. 法定代表人及专职从业人员有效身份证明
C. 内部监督管理制度
D. 评审场所地址及监控设备设施情况
E. 办公场所地址、联系电话","ABCDE"
