"type","question","options","answer"
"单选题","根据《福建省政府采购评审专家管理办法》，福建省政府采购评审专家管理实行的原则不包括以下哪项？","A. 统一标准
B. 随机抽取
C. 终身任职
D. 动态考核","C"
"单选题","根据《福建省政府采购评审专家管理办法》，福建省政府采购评审专家需承诺以独立身份参加评审工作，且必须具备的身份是？","A. 福建省户籍居民
B. 中国公民
C. 在职事业单位人员
D. 无固定职业人员","B"
"单选题","根据《福建省政府采购评审专家管理办法》，福建省政府采购评审专家入库时的年龄限制为不满多少周岁？","A. 50周岁
B. 55周岁
C. 60周岁
D. 65周岁","D"
"单选题","根据《福建省政府采购评审专家管理办法》，福建省政府采购评审专家已选聘评审专家的可以在满67周岁前一个月内向财政部门提出续聘申请，经审核符合条件的可续聘至几周岁？","A. 67周岁
B. 68周岁
C. 69周岁
D. 70周岁","D"
"单选题","根据《福建省政府采购评审专家管理办法》，福建省政府采购评审专家信息发生变更时，应自变更之日起几个工作日内申请变更？","A. 1个
B. 3个
C. 5个
D. 7个","D"
"单选题","根据《福建省政府采购评审专家管理办法》，福建省政府采购评审专家库中相关专家数量不能保证随机抽取需要的，采购人或者采购代理机构的正确做法是？","A. 直接自行选定
B. 推荐符合条件人员，经审核选聘入库后再随机抽取
C. 减少评审专家人数
D. 暂停采购活动","B"
"单选题","根据《福建省政府采购评审专家管理办法》，评审专家劳务报酬应当在评审活动结束后几日内完成支付？","A. 5日
B. 10日
C. 20日
D. 30日","D"
"单选题","根据《福建省政府采购评审专家管理办法》，福建省政府采购评审专家实行信用评价制度，信用评价不包括以下哪项？","A. 个人信息评价
B. 经济状况评价
C. 专业能力评价
D. 履职情况评价","B"
"单选题","根据《福建省政府采购评审专家管理办法》，采购人或者采购代理机构应当于政府采购项目评审活动结束后几个工作日内进行评价","A. 1个
B. 2个
C. 3个
D. 5个","D"
"单选题","根据《福建省政府采购评审专家管理办法》，采购人代表参与评审活动时，应遵守的规定是？","A. 可担任所有项目评审组长
B. 同评审专家一样领取劳务费
C. 参照《福建省政府采购评审专家管理办法》执行
D. 无需签署评审承诺书","C"
"单选题","根据《福建省政府采购评审专家管理办法》，评标委员会、谈判小组、询价小组、磋商小组（以下简称评审委员会）组长由采购人或采购代理机构组织评审委员会推选产生，应当推选什么样的评审专家担任。","A. 第一个到达评审现场的
B. 最后一个到达评审现场的
C. 采购人代表
D. 专业背景与政府采购项目相关度高、专业能力强的","D"
"单选题","根据《福建省政府采购评审专家管理办法》，下列选项错误的是？","A. 评审专家收到政府采购系统发出的评审邀请后不响应是否参加评审的，视为无法参加评审。
B. 评审专家确认参加评审的，应在规定时间内到达评审现场并在政府采购系统内签到，任何人不得代签。
C. 评审专家确认参加评审的，应在规定时间内到达评审现场并在政府采购系统内签到，代理机构可以代签。
D. 评审专家未在规定时间内在政府采购系统上签到的，视为迟到，由采购人和采购代理机构重新补抽。","C"
