"type","question","options","answer"
"单选题","根据《政府采购促进中小企业发展管理办法》，中小 企业的定义不包括以下哪种情况？（ ）","A. 与大企业的负责人为同一人
B. 与大企业存在直接控股关系
C. 与大企业存在管理关系
D. 与大企业有业务合作关系","D"
"单选题","在政府采购活动中，供应商提供的货物由中小企业制 造，且使用该中小企业商号或者注册商标的，可以享 受（ ）政策。","A. 价格评审优惠
B. 优先采购
C. 预留采购份额
D. 所有选项都符合","D"
"单选题","采购人在政府采购活动中应当合理确定采购项目的采 购需求，不得以（ ）作为供应商的资格要求或者评 审因素。","A. 企业注册资本
B. 资产总额
C. 营业收入
D. 所有选项都符合","D"
"单选题","主管预算单位应当组织评估本部门及所属单位政府采 购项目，统筹制定面向中小企业预留采购份额的具体 方案，并在（ ）中单独列示。","A. 政府采购预算
B. 政府采购合同
C. 政府采购公告
D. 政府采购文件","A"
"单选题","采购限额标准以上，200 万元以下的货物和服务采购 项目、400万元以下的工程采购项目，适宜由中小企 业提供的，采购人应当（ ）。","A. 专门面向中小企业采购
B. 优先采购
C. 预留采购份额
D. 所有选项都符合","A"
"单选题","超过 200 万元的货物和服务采购项目、超过 400 万 元的工程采购项目中适宜由中小企业提供的，预留该 部分采购项目预算总额的（ ）以上专门面向中小企业采购。","A. 20%
B. 30%
C. 40%
D. 50%","C"
"单选题","政府采购促进中小企业发展管理办法由哪个部门负责 解释？","A. 国家发展和改革委员会
B. 最高人民法院
C. 财政部
D. 国家市场监督管理总局","C"
"单选题","专门面向中小企业的政府采购项目，中小企业参与政 府采购活动时，可以组成的联合体不包括？","A. 不同行业的中小企业
B. 中小企业与大型企业
C. 中小企业与事业单位
D. 不同地区的中小企业","C"
"单选题","政府采购促进中小企业发展管理办法的制定目的是？","A. 提高政府采购效率
B. 促进中小企业发展
C. 增加政府财政收入
D. 规范政府采购行为","B"
"单选题","采购人或者采购代理机构对小型和微型企业的认定， 应当以什么为主要依据？","A. 企业自行申报
B. 工商行政管理部门的登记
C. 《中小企业划型标准规定》
D. 地方税务部门的认定","C"
"单选题","对于经主管预算单位统筹后未预留份额专门面向中小 企业采购的采购项目，采购人、采购代理机构应当对 符合规定的小微企业报价给予（ ）的扣除。","A. 3%—5%
B. 10%—20%
C. 1%—2%
D. 2%—3%","B"
"单选题","中小企业参加政府采购活动，应当出具（ ），否则 不得享受相关中小企业扶持政策。","A. 中小企业声明函
B. 中小企业身份证明文件
C. 中小企业资质证书
D. 中小企业营业执照","A"
"单选题","采购项目涉及中小企业采购的，采购文件应当明确（）等内容。","A. 预留份额的采购项目或者采购包
B. 要求以联合体形式参加或者合同分包
C. 非预留份额的采购项目或者采购包的价格扣除比例或者价格分加分比例
D. 所有选项都符合","D"
"单选题","中标、成交供应商享受中小企业扶持政策的，采购人 、采购代理机构应当随中标、成交结果公开中标、成 交供应商的（ ）。","A. 中小企业声明函
B. 中小企业身份证明文件
C. 中小企业资质证书
D. 中小企业营业执照","A"
"单选题","对于通过预留采购项目、预留专门采购包、要求以联 合体形式参加或者合同分包等措施签订的采购合同， 应当明确标注（ ）。","A. 本合同为中小企业预留合同
B. 本合同为大型企业预留合同
C. 本合同为中型企业预留合同
D. 本合同为小微企业预留合同","A"
"单选题","鼓励各地区、各部门在采购活动中允许中小企业引入 （ ），为中小企业在投标（响应）保证、履约保证 等方面提供专业化服务。","A. 信用担保手段
B. 资金支持
C. 技术支持
D. 所有选项都符合","A"
"单选题","政府采购监督检查、投诉处理及政府采购行政处罚中 对中小企业的认定，由（ ）负责。","A. 货物制造商或者工程、服务供应商注册登记所在地的县级
以上人民政府中小企业主管部门
B. 采购人
C. 采购代理机构
D. 财政部门","A"
"单选题","各地区、各部门应当对涉及中小企业采购的预算项目 实施 ( ) ,合理设置绩效目标和指标，落实扶持中小 企业有关政策要求。","A. 全过程绩效管理
B. 部分绩效管理
C. 阶段性绩效管理
D. 所有选项都符合","A"
"单选题","主管预算单位应当自 2022 年起向同级财政部门报告 本部门上一年度面向中小企业预留份额和采购的具体 情况，并在（ ）公开预留项目执行情况。","A. 中国政府采购网
B. 中国中小企业网
C. 中国招标投标网
D. 所有选项都符合","A"
"单选题","财政部门、中小企业主管部门及其工作人员在履行职 责中违反《政府采购促进中小企业发展管理办法》规 定及存在其他滥用职权 、玩忽职守、徇私舞弊等违 法违纪行为的，依照（ ）等国家有关规定追究相应责任。","A. 《中华人民共和国政府采购法》
B. 《中华人民共和国公务员法》
C. 《中华人民共和国监察法》
D. 所有选项都符合","D"
"单选题","中小企业参与政府采购活动时，可以享受的优惠待遇 不包括()","A. 价格扣除
B. 优先采购
C. 质量加分
D. 专门面向中小企业的资格要求","C"
"单选题","采购限额标准以上，200 万元以下的货物和服务采购 项目、400万元以下的工程采购项目，适宜由中小企 业提供的，采购人应当 ( ) 。","A. 专门面向中小企业采购
B. 优先采购
C. 预留采购份额
D. 所有选项都符合","A"
"单选题","超过 200 万元的货物和服务采购项目、超过 400 万 元的工程采购项目中适宜由中小企业提供的，预留该 部分采购项目预算总额的 40% 以上专门面向中小企 业采购，其中预留给小微企业的比例不低于（ ）。","A. 50%
B. 60%
C. 70%
D. 80%","B"
"单选题","某政府采购代理机构受采购人委托，市级学校课桌椅 采购，预算200万元，采购人要求专门面向中小企业 采购，（）不可以参加。","A. 事业单位
B. 中型企业
C. 小型企业
D. 微型企业","A"
"单选题","某高校采购一批教学设备，预算200万元，该项目非 专门面向中小企业。A投标人所投产品的制造商是小 微企业；B为联合体投标； C投标人是小微企业，产 品制造商是大型企业；D投标人及产品制造商都是大 型企业，请问要怎么落实政策？","A. 小微企业产品价格扣除,制造商是小微企业即可享受
B. 不管联合体各方是不是小微企业的,联合体不可以视为小微企业
C. 小微企业产品价格扣除,代理商与制造商任一是小微企业即可享受
D. 小微企业产品价格扣除,代理商与制造商都是小微企业才能享受","A"
"单选题","某高校采购一批家具，预算200万元，怎么落实政 策？","A. 将采购项目整体专门面向中小企业采购。
B. 在采购项目中不用设置采购包专门面向中小企业采购。
C. 要求供应商以联合体形式参加采购活动，且联合体中中小
企业承担的部分不用达到一定比例。
D. 不用要求获得采购合同的供应商将采购项目中的一定比例
分包给一家或者多家中小企业","A"
"单选题","某政府超过200万元的货物和服务项目，以下哪种举 措才是进一步加大政府采购支持中小企业力度？","A. 提高预留份额比例
B. 取消预留份额要求
C. 提高投标保证金比例
D. 取消政府采购合同融资","A"
"单选题","下列选项中，不属于《关于印发中小企业划型标准规 定的通知》第二条所提及的划型指标的是（ ）","A. 从业人员
B. 营业收入
C. 资产总额
D. 净利润","D"
"多选题","根据《政府采购促进中小企业发展管理办法》，以下 可以参与专门面向中小企业的政府采购项目有哪些？ （）","A. 中型企业
B. 小型企业
C. 微型企业
D. 个体工商户","ABCD"
"多选题","采购人在政府采购活动中应当合理确定采购项目的采 购需求，不得以以下哪些条件作为供应商的资格要求 或者评审因素？ ( )","A. 企业注册资本
B. 资产总额
C. 营业收入
D. 从业人员","ABCD"
"多选题","根据《政府采购促进中小企业发展管理办法》，专门 面向中小企业的政府采购项目，以下哪些情形下供应 商提供的货物、工程或服务可以享受中小企业扶持政 策？ ( )","A. 货物由中小企业制造
B. 工程由中小企业承建
C. 服务由中小企业承接
D. 货物由大型企业制造","ABC"
"多选题","在政府采购活动中，以下哪些措施可以提高中小企业 的份额？ ( )","A. 预留采购份额
B. 价格评审优惠
C. 优先采购
D. 提高采购限额标准","ABC"
"多选题","以下哪些情形下可以不专门面向中小企业预留采购份 额？ ( )","A. 法律法规明确规定优先面向事业单位采购
B. 使用不可替代的专利、专有技术
C. 框架协议采购项目
D. 采购限额标准以下的项目","ABCD"
"多选题","在政府采购活动中，以下哪些措施可以用于预留采购 份额？ ( )","A. 将采购项目整体专门面向中小企业采购
B. 要求供应商以联合体形式参加采购活动
C. 要求获得采购合同的供应商将采购项目中的一定比例分包给中小企业
D. 提高采购限额标准","ABC"
"多选题","在政府采购活动中，以下哪些情形下可以对联合体或 者大中型企业的报价给予扣除？ ( )","A. 联合协议或者分包意向协议约定小微企业的合同份额占到
合同总金额 30% 以上
B. 适用招标投标法的政府采购工程建设项目
C. 采购限额标准以下的项目
D. 专门面向中小企业的采购项目","AB"
"多选题","在政府采购活动中，以下哪些内容应当在采购文件中 明确？ ( )","A. 预留份额的采购项目或者采购包
B. 要求以联合体形式参加或者合同分包的
C. 非预留份额的采购项目或者采购包
D. 采购限额标准以下的项目","ABC"
"多选题","在政府采购活动中，以下哪些情形下应当公开中标、 成交供应商的《中小企业声明函》？ ( )","A. 中标、成交供应商享受中小企业扶持政策
B. 适用招标投标法的政府采购工程建设项目
C. 采购限额标准以上,享受扶持政策的项目
D. 预留份额项目中的非预留部分采购包","ABC"
"多选题","在政府采购活动中，以下哪些情形下鼓励中小企业引 入信用担保手段？ ( )","A. 投标（响应）保证
B. 履约保证
C. 采购限额标准以下的项目
D. 预留份额项目中的非预留部分采购包","AB"
"多选题","在政府采购活动中，以下哪些情形下属于提供虚假材 料谋取中标 、成交？ ( )","A. 供应商按照《政府采购促进中小企业发展管理办法》规定
提供声明函内容不实
B. 适用招标投标法的政府采购工程建设项目，投标人按照《
政府采购促进中小企业发展管理办法》规定提供声明函内容不实
C. 采购限额标准以下的项目
D. 预留份额项目中的非预留部分采购包","AB"
"多选题","在政府采购活动中，以下哪些情形下财政部门、中小 企业主管部门及其工作人员应当追究相应责任？ ( )","A. 违反《政府采购促进中小企业发展管理办法》规定
B. 存在滥用职权、玩忽职守、徇私舞弊等违法违纪行为
C. 采购限额标准以下的项目
D. 预留份额项目中的非预留部分采购包","AB"
"多选题","在政府采购活动中，以下哪些情形下应当明确标注本 合同为中小企业预留合同？ ( )","A. 通过预留采购项目、预留专门采购包签订的采购合同
B. 要求以联合体形式参加或者合同分包签订的采购合同
C. 采购限额标准以下的项目
D. 预留份额项目中的非预留部分采购包","AB"
"多选题","在政府采购活动中，以下哪些情形下由中小企业主管 部门负责中小企业的认定？ ( )","A. 政府采购监督检查
B. 投诉处理
C. 政府采购行政处罚
D. 采购限额标准以下的项目","ABC"
"多选题","在政府采购活动中，以下哪些情形下属于未按照规定 执行政府采购政策？ ( )","A. 采购人未按规定为中小企业预留采购份额
B. 采购人、采购代理机构未按规定要求实施价格扣除或者价格分加分
C. 采购限额标准以下的项目
D. 预留份额项目中的非预留部分采购包","AB"
"多选题","在政府采购活动中，以下哪些情形下应当依照《中华 人民共和国政府采购法》等国家有关规定追究法律责 任？ ( )","A. 采购人未按《政府采购促进中小企业发展管理办法》规定
为中小企业预留采购份额
B. 采购人、采购代理机构未按照《政府采购促进中小企业发
展管理办法》规定要求实施价格扣除或者价格分加分
C. 采购限额标准以下的项目
D. 预留份额项目中的非预留部分采购包","AB"
"多选题","政府采购促进中小企业发展的优惠措施包括（）。","A. 价格评审优惠
B. 首付款比例提高（质量评审加分）
C. 履约保证金减免
D. 分包合作支持","ABCD"
"多选题","供应商存在下列（）行为的，将被纳入政府采购不良 行为记录名单。","A. 提供虚假中小企业声明函
B. 恶意串通
C. 骗取政府采购优惠
D. 轻微违约","ABC"
"多选题","下列哪些情形，提供货物、工程或者服务的供应商可 以享受《政府采购促进中小企业发展管理办法》规定 的中小企业扶持政策？","A. 在货物采购项目中，全部货物由中小企业制造
B. 在货物采购项目中，参与投标的供应商为中小企业
C. 在工程采购项目中，工程施工单位为中小企业
D. 在服务采购项目中，承接服务的单位为中小企业","ACD"
