"type","question","options","answer"
"单选题","合作创新采购方式分为哪两个阶段？","A. 招标与投标
B. 订购与首购
C. 询价与谈判
D. 磋商与竞价","B"
"单选题","以下哪种情形可以采用合作创新采购方式？","A. 市场现有产品完全满足要求
B. 以研发创新产品为基础，形成新范式或新的解决方案，能显
著改善功能性能，明显提高绩效的
C. 项目与国家科技和产业发展规划无关
D. 采购项目预算过低","B"
"单选题","实施合作创新采购的，应当在（ ）中列明研发经 费。","A. 部门预算
B. 批复预算
C. 核准预算
D. 研发预算","A"
"单选题","采购人开展合作创新采购前，应开展（ ）。","A. 市场调研和专家论证
B. 制定合作单位
C. 项目一般性和重点性审查
D. 行业普查","A"
"单选题","合作创新采购的研发活动原则上应在哪里进行（ ）","A. 国外
B. 中国境内
C. 任意地点
D. 采购人指定地点","B"
"单选题","合作创新采购中产生的各类知识产权，原则上属于 （ ）。","A. 采购人
B. 主管预算单位
C. 供应商
D. 双方共有","C"
"单选题","合作创新采购谈判小组由采购人代表和评审专家共 几人以上单数组成？（ ）","A. 五人
B. 七人
C. 八人
D. 九人","A"
"单选题","合作创新采购以公告形式邀请供应商的，公告期限 不得少于几个工作日？（ ）","A. 五个
B. 七个
C. 九个
D. 十个","A"
"单选题","提交参与合作创新采购申请文件的时间自采购公告 、邀请书发出之日起不得少于几个工作日？（ ）","A. 二十个
B. 二十五个
C. 三十个
D. 四个","A"
"单选题","采购人根据创新概念交流情况形成的研发谈判文 件，其中供应商研发方案的分值占总分值的比重不 得低于（ ）。","A. 百分之三十
B. 百分之四十
C. 百分之五十
D. 百分之六十","C"
"单选题","采购人应当向所有参与创新概念交流的供应商提供 研发谈判文件，邀请其参与研发竞争谈判。从研发 谈判文件发出之日起至供应商提交首次响应文件截 止之日止不得少于（ ）工作日。","A. 十个
B. 十五个
C. 二十个
D. 三十个","A"
"单选题","合作创新采购中，在谈判结束后，谈判小组确定最 终谈判文件并通知供应商，供应商提交最终响应文 件的时间不少于（ ）工作日。","A. 五个
B. 七个
C. 九个
D. 十个","A"
"单选题","合作创新采购中，谈判小组对响应文件满足研发谈 判文件全部实质性要求的供应商开展评审，按照（） 排序，推荐成交候选人。","A. 评审得分从高到低
B. 研发方案得分从高到低
C. 投标报价从低到高
D. 研发成本从低到高","A"
"单选题","合作创新采购研发供应商数量最多不得超过几家？ （ ）","A. 两家
B. 三家
C. 四家
D. 五家","B"
"单选题","因采购人调整创新产品功能、性能目标需要调整费 用的，增加的费用不得超过首购金额的（ ）。","A. 百分之十
B. 百分之十五
C. 百分之二十
D. 百分之三十","A"
"单选题","采购人应当向首购产品供应商支付预付款用于创新 产品生产制造。预付款金额不得低于首购协议约定 的首购总金额的（ ）","A. 百分之三十
B. 百分之四十
C. 百分之五十
D. 百分之六十","A"
"单选题","某项目采用合作创新采购，供应商在交付最终产品 前申请将部分模块外包给外商投资公司在香港实施 。采购人应如何应对（ ）","A. 同意，因可提升技术性能
B. 拒绝，因合作创新采购的研发活动应当在中国境内进行
C. 同意，但需供应商提供外包方资质证明
D. 必须经财政部门批准方可外包","B"
"单选题","某合作创新采购项目，创新成果知识产权约定为双 方共有，后续采购人拟将该成果推广应用于本单位 其他项目，下列做法正确的是（ ）","A. 无需告知合作方，直接推广应用
B. 提前告知合作方，按合同约定支付使用费
C. 需重新与合作方签订知识产权许可协议
D. 仅可在原合作项目范围内使用，不得推广","B"
"单选题","某研发合同中，供应商的当期研发成本为1000万 元，其中可列支成本（即在研发过程中实际投入的 设备费、业务费、劳务费以及间接费用等）为900万 元，研发合同约定的成本补偿比例为80%，则采购人 实际支付的当期成本补偿费用为（ ）。","A. 1000万元
B. 900万元
C. 800万元
D. 720万元","D"
"单选题","某地政府采用合作创新方式采购“城市内涝智能预 警系统”，项目失败后，供应商已投入800万元研发 成本，采购人已支付600万元。此时应如何处理（ ）","A. 采购人应全额追加200万元，确保项目完成
B. 供应商应退还全部已收款项
C. 采购人可按合同约定承担部分损失，供应商承担主要研发风险
D. 采购人应起诉供应商违约","C"
"多选题","合作创新采购方式中所称创新产品，应当具有实质 性的技术创新，包含（ ）","A. 新的技术原理
B. 新的技术思想
C. 新的技术方法
D. 对既有技术成果的验证、测试和使用","ABC"
"多选题","采购项目符合国家科技和相关产业发展规划，有利 于落实国家重大战略目标任务，并且具有下列情形 之一的，可以采用合作创新采购方式采购（ ）","A. 市场现有产品不能满足要求，需要进行技术突破的；
B. 市场现有技术不能满足要求，需要进行技术突破的；
C. 以研发创新产品为基础，形成新范式或者新的解决方案，能
够显著改善功能性能，明显提高绩效的；
D. 国务院财政部门规定的其他情形。","ABCD"
"多选题","中央和省级主管预算单位对符合条件的采购项目， 采取合作创新采购方式时，可（）。","A. 自行开展
B. 授权所属预算单位开展
C. 仅能授权所属单位开展
D. 与其他单位联合开展","AB"
"多选题","以下哪些主体属于可以参加合作创新采购的供应商 （ ）。","A. 福州大学
B. 福建省高速公路集团有限公司
C. 福耀玻璃工业集团股份有限公司
D. 漳州市食品科学研究院","ABCD"
"多选题","合作创新采购中，采购人围绕供应商需具备的研发 能力设定资格条件可包括（ ）。","A. 合作创新采购项目所必需的已有专利、专有技术类别
B. 同类项目的研发业绩
C. 供应商已具备的研究基础
D. 与本项目合作方向无关的计算机软件著作权","ABC"
"多选题","合作创新采购中产生的知识产权，以下说法正确的 有（ ）。","A. 原则上属于供应商享有
B. 法律另有规定的，从其规定
C. 研发合同另有约定的，从其约定
D. 原则上属于采购人享有","ABC"
"多选题","采购人开展合作创新采购前，应当制定采购方案。 采购方案包括以下内容：（ ）","A. 创新产品的最低研发目标、最高研发费用、应用场景和研发期限；
B. 供应商邀请方式；
C. 给予研发成本补偿的成本范围及该项目用于研发成本补偿的费用限额；
D. 研发风险分析和风险管控措施；","ABCD"
"多选题","合作创新项目中，谈判小组负责（ ）工作","A. 供应商资格审查
B. 创新概念交流
C. 研发竞争谈判
D. 研发中期谈判和首购评审","ABCD"
"多选题","合作创新项目中，谈判小组集中与所有通过资格审 查的供应商共同进行创新概念交流，交流内容包括 创新产品的（ ）。","A. 最低研发目标
B. 最高研发费用
C. 应用场景
D. 采购方案的其他相关内容","ABCD"
"多选题","采购人根据创新概念交流情况形成的研发谈判文 件，其中供应商研发方案的分值占总分值的比重设 置错误的（ ）。","A. 百分之三十
B. 百分之四十
C. 百分之六十
D. 百分之七十","AB"
"多选题","合作创新采购中所称标志性成果，包括（ ）等。","A. 形成创新产品的详细设计方案
B. 技术原理在实验室环境获得验证通过
C. 创新产品的关键部件研制成功、生产出符合要求的模型样机
D. 创新产品通过采购人试用和履约验收","ABCD"
"多选题","以下关于研发供应商确定的说法，正确的有（ ）。","A. 采购人根据谈判文件规定和谈判小组推荐确定
B. 可以书面授权谈判小组直接确定
C. 研发供应商数量最多不得超过三家
D. 成交候选人数量少于规定数量时，只能重新开展采购活动","ABC"
"多选题","合作创新采购研发中期谈判的内容包括（ ）。","A. 研发进度
B. 标志性成果及其验收方法与标准
C. 研发成本补偿的成本范围
D. 研发成本补偿的成本金额","ABCD"
"多选题","合作创新采购研发合同为成本补偿合同，成本补偿 范围包括供应商在研发过程中实际投入的（ ）。","A. 设备费
B. 业务费
C. 劳务费
D. 间接费用","ABCD"
"多选题","某合作创新采购项目中，采购人与中标供应商签订 研发合同，约定研发成本补偿范围及比例。下列费 用中，不得纳入研发成本补偿范畴的有（ ）","A. 合同约定的激励费用
B. 研发过程中实际投入的设备费用
C. 研发过程中实际投入的业务费
D. 未经采购人同意擅自变更技术路线产生的额外费用","AD"
"多选题","合作创新采购研发合同履行过程中，可能导致合同 终止或解除的情形有（ ）。","A. 市场出现同类产品，采购人认为继续履行无意义
B. 出现无法克服的技术困难致使研发失败
C. 研发供应商未按照约定完成标志性成果
D. 采购人资金紧张","ABC"
"多选题","某合作创新采购项目合作终止，下列哪些说法是错 误的（ ）","A. 因市场已出现拟研发创新产品的同类产品，采购人认为研发合同继续履 行没有意义终止研发合同，采购人按不超过80%支付研发成本补偿费用
B. 因市场已出现拟研发创新产品的同类产品，采购人认为研发合同继续履行没有意义终止研发合同，采购人按不超过50%支付研发成本补偿费用
C. 因市场已出现拟研发创新产品的同类产品，采购人认为研发合同继续履行没有意义终止研发合同，采购人按不超过30%支付研发成本补偿费用
D. 因市场已出现拟研发创新产品的同类产品，采购人认为研发合同继续履行没有意义终止研发合同的，采购人可直接终止合同，不再支付费用","ABCD"
"多选题","某研发合同中，供应商的当期费用为1000万元，其 中在研发过程中实际投入的设备费300万元、业务费 300万元、劳务费100万元、间接费用100万元、激励 费用200万元，研发合同约定的成本补偿比例为 50%，则采购人实际支付的当期成本补偿费用错误的是（）","A. 1000万元
B. 600万元
C. 500万元
D. 400万元","ABC"
"多选题","某合作创新采购项目研发合同中，首购协议约定的 首购总金额为1000万元，采购人在向首购产品供应 商支付预付款用于创新产品生产制造时，下列哪个 预付款支付金额符合文件要求（）","A. 100万元
B. 150万元
C. 300万元
D. 400万元","CD"
"多选题","某地政府采用合作创新方式采购“城市内涝智能预 警系统”，项目失败后，供应商已投入800万元研发 成本，采购人已支付600万元。此时采购人应如何处 理？","A. 采购人应全额追加200万元，确保项目完成
B. 供应商应退还全部已收款项
C. 按研发合同约定向研发供应商支付相应的研发成本补偿费用
D. 及时终止研发合同","CD"
"判断题","合作创新采购方式只有订购这一个阶段。（ ）","A. 正确
B. 错误","B"
"判断题","只要采购项目预算充足，就可以采用合作创新采购 方式。（ ）","A. 正确
B. 错误","B"
"判断题","中央主管预算单位只能自行开展合作创新采购，不 可以授权所属单位。（ ）","A. 正确
B. 错误","B"
"判断题","有研发能力的外商投资企业可以参加合作创新采购 的研发活动。（ ）","A. 正确
B. 错误","A"
"判断题","采购人开展合作创新采购，不需要进行市场调研和 专家论证。（ ）","A. 正确
B. 错误","B"
"判断题","合作创新采购中，采购人确定研发供应商时，除特 殊情况外，应通过公开竞争确定。（ ）","A. 正确
B. 错误","A"
