"type","question","options","answer"
"单选题","以下（ ）使用非财政性资金以直接进口或委托方式采购进口产品（包括已进入中国境内的进口产品）的活动，不适用政府采购进口产品管理办法。","A. 福州大学 B. 中国电信
C. 福州市晋安区医院 D. 福建省商务厅","B"
"单选题","下列哪一部门有权依法开展政府采购进口产品审核活动，并实施监督管理。( )","A. 设区市财政部门 B. 设区市外贸部门 C. 县级财政部门 D. 县级外贸部门","A"
"单选题","下列不适用《政府采购进口产品管理办法》的是( )。","A. 国家机关 B. 事业单位 C. 团体组织 D. 国有企业","D"
"单选题","根据《政府采购进口产品管理办法》,下列哪一项是正确的。( )","A. 政府采购应当采购本国产品，确需采购进口产品的，实行审核管理 B. 政府采购应当采购本国产品，禁止采购进口产品
C. 政府采购可以采购本国产品，也可以采购进口产品 D. 政府采购一般采购本国产品，禁止采购进口产品","A"
"单选题","采购人采购进口产品时，应当坚持( )原则，优先购买向我方转让技术、提供培训服务及其他补偿贸易措施的产品。","A. 有利于坚持节省外汇的
B. 有利于本国企业自主创新或消化吸收核心技术的 C. 有利于采购人使用的
D. 有利于维护外交关系的","B"
"单选题","某高校须采购实验室设备，采购需求中某些技术参数只有英法德等外国企业生产的产品具备，现 在国内无匹配产品。想要采购该设备应当在获得( )核准后，依法开展政府采购活动。","A. 省级以上人民政府
B. 监察机关
C. 发展改革委
D. 财政部门","D"
"单选题","根据《政府采购进口产品管理办法》第八条，采购人报财政部门审核时，应当依法出具相关材料 。下列哪一项不属于应当出具的材料。()","A. 政府采购进口产品申请表
B. 关于鼓励进口产品的国家法律法规政策文件复印件 C. 专家组出具的《政府采购进口产品专家论证意见》 D. 外汇兑换和使用情况表","D"
"单选题","采购人拟采购的设备采用的是欧洲某个国家研发的重大产业技术，因科研需要采购进口设备，应当出具哪个部门意见。( )","A. 财政部门 B. 国务院
C. 发展改革委 D. 科技部","C"
"单选题","《政府采购进口产品管理办法》所称专家组应当由( )人以上的单数组成。","A. 3 B. 5 C. 7 D. 9","B"
"单选题","《政府采购进口产品管理办法》所称专家组必须包括( )。","A. 1名法律专家 B. 2名法律专家 C. 1名财务专家 D. 2名财务专家","A"
"单选题","根据《政府采购进口产品管理办法》,专家组的产品技术专家( )为非本单位并熟悉该产品的专家。","A. 可以 B. 应当 C. 通常 D. 不得","B"
"单选题","根据《政府采购进口产品管理办法》,政府采购进口产品应当以( )为主要方式。","A. 邀请招标 B. 竞争性谈判 C. 公开招标
D. 单一来源采购","C"
"单选题","采购人因产品的一致性或者服务配套要求，需 要继续从原供应商处添购原有采购项目的，且添购资金总额不超过原合同金额( )的，不需要重新审核。","A. 5% B. 10% C. 20% D. 30%","B"
"单选题","政府采购进口产品合同应当将维护国家利益和社会公共利益作为( )","A. 备用条款 B. 选择性条款 C. 酌情条款 D. 必备条款","D"
"单选题","根据《政府采购进口产品管理办法》,合同履行过程中出现危害国家利益和社会公共利益问题的，采购人( )。","A. 可以暂停合同 B. 可以终止合同 C. 应当暂停合同 D. 应当终止合同","D"
"单选题","采购代理机构在代理政府采购进口产品业务中有违法行为的，给予警告，( )按照有关法律规定并处罚款；情节严重的，( )依法取消其进行相关业务的资格。","A. 应当；可以 B. 可以；可以 C. 应当；应当 D. 可以；应当","B"
"单选题","根据《政府采购进口产品管理办法》,供应商提供虚假材料谋取中标、成交的，处以采购金额( )的罚款。","A. 1‰以上5‰以下 B. 3‰以上5‰以下 C. 5‰以上10‰以下 D. 10‰以上15‰以下","C"
"单选题","根据《政府采购进口产品管理办法》,供应商采取不正当手段诋毁、排挤其他供应商的，在( )禁止参加政府采购活动","A. 1-3年内 B. 1-5年内 C. 2-5年内 D. 2-4年内","A"
"单选题","根据《政府采购进口产品管理办法》,供应商在招标采购过程中与采购人进行协商谈判的，在( )禁止参加政府采购活动。","A. 2-4年内 B. 2-5年内 C. 1-5年内 D. 1-3年内","D"
"单选题","采购人申请支付进口产品采购资金时，应当出具政府采购进口产品相关材料和（）的审核文件。否则不予支付资金。","A. 财政部门
B. 采购人预算主管部门 C. 县级及以上政府
D. 采购单位内部","A"
"单选题","采购代理机构在代理政府采购进口产品业务中有违法行为的，给予（），可以按照有关法律规定并处罚款。","A. 警告 B. 处分 C. 开除
D. 所有选项都不对","A"
