"type","question","options","answer"
"单选题","制定《政府采购竞争性磋商采购方式管理暂行办法》的法律依据是（）","A. 《招标投标法》
B. 《政府采购法》
C. 《预算法》
D. 《政府采购法实施条例》","B"
"单选题","采用公告方式邀请供应商的，竞争性磋商公告应当在哪个层级以上人民政府财政部门指定媒体发布（）","A. 县级
B. 设区的市、自治州
C. 省级
D. 国家级","C"
"单选题","根据《政府采购竞争性磋商采购方式管理暂行办法》，磋商文件的发售期限自开始发售之日起至停止发售之日止，不得少于（）","A. 3个工作日
B. 5个工作日
C. 5日
D. 10日","B"
"单选题","在竞争性磋商采购中，从磋商文件发出之日起至供应商提交首次响应文件截止之日止，不得少于（）","A. 3日
B. 5日
C. 10日
D. 20日","C"
"单选题","根据《政府采购竞争性磋商采购方式管理暂行办法》，磋商保证金最高不得超过采购项目预算的（）","A. 1%
B. 1‰
C. 2%
D. 2‰","C"
"单选题","在竞争性磋商采购中，磋商小组由采购人代表和评审专家共3人以上单数组成，其中评审专家人数不得少于磋商小组成员总数的（）","A. 1/3
B. 2/3
C. 3/4
D. 4/5","B"
"单选题","根据《政府采购竞争性磋商采购方式管理暂行办法》，采取采购人和评审专家书面推荐方式选择供应商的，采购人推荐供应商的比例不得高于推荐供应商总数的（）","A. 30%
B. 40%
C. 50%
D. 60%","C"
"单选题","在竞争性磋商采购中，综合评分法服务采购项目的价格分值权重范围为（）","A. 10%–30%
B. 20%–40%
C. 30%–50%
D. 30%–60%","A"
"单选题","根据《政府采购竞争性磋商采购方式管理暂行办法》，在竞争性磋商采购项目中，成交供应商确定后，采购人或采购代理机构应当在（）个工作日内在指定媒体公告成交结果。","A. 1
B. 2
C. 3
D. 5","B"
"单选题","在竞争性磋商采购中，未成交供应商的磋商保证金应当自发出成交通知书之日起几个工作日内退还（）","A. 3
B. 5
C. 7
D. 10","B"
"单选题","根据《政府采购竞争性磋商采购方式管理暂行办法》，采购人、采购代理机构应当采取必要措施，保证磋商在何种情况下进行？（）","A. 公开透明
B. 严格保密
C. 全程录音录像并即时直播
D. 向所有供应商同步公开过程","B"
"单选题","在某政府采购项目中，因设备技术复杂，采用竞争性磋商方式采购一批可研设备。磋商过程中，采购人发现原磋商文件中的技术参数存在缺陷，需对设备性能指标作出实质性修改。根据《政府采购竞争性磋商采购方式管理暂行办法》第二十条，以下做法正确的是（ ）。","A. 磋商小组口头通知部分供应商修改内容，后续再补书面通知
B. 磋商小组将修改内容仅书面通知提出异议的供应商
C. 磋商小组应将实质性变动内容以书面形式同时通知所有参加磋商的供应商
D. 磋商小组直接修改磋商文件后继续评审，无需通知供应商","C"
"单选题","A市医院某服务采购项目采用竞争性磋商方式，评审报告提交后，采购人因内部审批流程延迟，未在规定期限内确定成交供应商，且未对评审报告提出任何异议。根据《政府采购竞争性磋商采购方式管理暂行办法》第二十八条，以下说法正确的是（ ）。","A. 采购人可继续无限期拖延，直至完成内部审批
B. 采购人需重新组织磋商活动，重新评审
C. 视为确定评审报告提出的排序第一的供应商为成交供应商
D. 由财政部门直接指定成交供应商","C"
"单选题","某政府采购项目采用竞争性磋商方式，磋商小组在评审过程中发现竞争性磋商文件中要求的某项技术参数违反了国家节能环保强制性标准。根据《政府采购竞争性磋商采购方式管理暂行办法》第十六条第二款，磋商小组应当（ ）。","A. 继续评审，并在评审报告中说明情况
B. 继续评审，但要求采购人书面承诺纠正
C. 停止评审，并向采购人或采购代理机构说明情况
D. 停止评审，并直接报告财政部门处理","C"
"单选题","A市采用竞争性磋商方式采购应急指挥车，发成交通知书后，因突发洪灾，财政资金全部转防汛，采购任务取消。依据《政府采购竞争性磋商采购方式管理暂行办法》第三十五条，采购人应当：","A. 终止采购、通知全部供应商并报财政
B. 延期签约
C. 改用询价
D. 自行取消不报备","A"
"单选题","A政府采购项目采用竞争性磋商方式完成采购后，采购代理机构发布成交结果公告。根据《政府采购竞争性磋商采购方式管理暂行办法》第二十九条，以下内容不需要包含在公告中的是（ ）。","A. 成交供应商的名称、地址及成交金额
B. 主要成交标的的规格型号、数量、单价和服务要求
C. 所有参与磋商供应商的最终报价明细
D. 磋商小组成员名单","C"
"单选题","H市“智慧停车”PPP项目采用竞争性磋商方式采购。共有3家社会资本提交响应文件，经资格性和实质性审查，仅1家完全符合要求，其余2家因未按采购文件提供关键证明材料被认定为无效响应。此时，采购人应当（ ）。","A. 与唯一合格供应商继续磋商并推荐成交
B. 依法转为单一来源采购方式
C. 终止本次竞争性磋商，发布终止公告并重新开展采购
D. 报市级财政部门批准后继续完成磋商程序","C"
"单选题","Q市属医院（主管预算单位为市卫健委）采购一批进口医疗设备，预算金额为480万元（当地公开招标数额标准为400万元）。因设备技术复杂，拟采用竞争性磋商方式。以下做法符合规定的是（ ）。","A. 医院直接向市财政局申请批准，未报市卫健委同意
B. 经市卫健委同意后，医院向省级财政部门申请批准
C. 因涉及进口产品，需报财政部批准竞争性磋商
D. 经市卫健委同意后，医院向市财政局申请批准","D"
"单选题","Y省部分高校因拟采购的实验室科研设备技术结构复杂、专业要求特殊，决定采用竞争性磋商方式组织实施本次采购，采购人擅自提高经费预算标准导致磋商文件被投诉，财政部门认定违规，此时已完成的采购合同应当如何处理？（）","A. 合同继续有效，仅对采购人警告罚款
B. 合同自动失效，成交供应商可要求缔约过失赔偿
C. 由财政部门决定是否撤销合同
D. 合同效力不受影响，但须补报财政部备案","C"
"单选题","某市公安局的一政府采购项目采用竞争性磋商方式，评审结束后，采购代理机构发现磋商小组对供应商A的“技术响应”项评分中，存在同一评审因素重复扣分的情况（总扣分超出磋商文件规定的上限）。根据第三十二条，以下处理方式正确的是（ ）。","A. 采购代理机构可直接修改评分结果，重新汇总后确定成交供应商
B. 采购人应组织原磋商小组重新评审，修正重复扣分问题
C. 采购人、采购代理机构需重新开展采购活动，并书面报告财政部门
D. 因重复扣分属于“分值汇总计算错误”，可组织重新评审并报财政部门备案","B"
"单选题","某教育局一采购项目采用竞争性磋商方式进行采购，在评审过程中，评审专家发现供应商A提交的业绩合同存在伪造公章的嫌疑，但无法立即核实。以下做法正确的是（ ）。","A. 立即停止评审，并向当地公安机关报案
B. 在评审报告中记录该情况，但无需主动报告财政部门
C. 继续评审，待评审结束后以个人名义向财政部门提交书面举报材料
D. 及时向财政部门书面报告供应商涉嫌违法的线索，并暂停评审直至财政部门指示","D"
"单选题","评审结束后，采购人认为成交候选人B的报价明显低于成本价，要求磋商小组重新评审。磋商小组复核后确认报价合理，但采购人仍坚持重新评审。根据第三十二条，以下说法正确的是（ ）。","A. 采购人有权要求磋商小组多次重新评审，直至确认报价异常
B. 因报价合理性不属于法定重新评审情形，磋商小组应拒绝采购人要求
C. 采购人可自行委托第三方机构对B的报价进行成本检测，并依据检测结果改变评审结果
D. 若其他供应商未提出异议，采购人可直接调整评审结果并确认B为成交供应商","B"
"多选题","根据《政府采购竞争性磋商采购方式管理暂行办法》的规定，下列选项中可以采用竞争性磋商方式的情形有（ ）","A. 政府购买服务项目
B. 技术复杂不能确定详细规格的
C. 市场竞争不充分的科研项目，以及需要扶持的科技成果转化项目
D. 必须进行招标的工程建设项目以外的工程建设项目","ABCD"
"多选题","根据《政府采购竞争性磋商采购方式管理暂行办法》的规定，下列选项中，属于磋商文件应当包含的内容有（）。","A. 采购需求
B. 供应商的注册资本要求
C. 评审程序
D. 合同草案条款","ACD"
"多选题","某科研所组织的竞争性磋商活动中，供应商B在竞争性磋商项目中提交响应文件后，发现其中技术参数存在错误，拟在截止时间前撤回并重新提交。以下错误的做法是（ ）","A. 供应商B口头通知采购代理机构撤回文件，并于截止时间前重新提交新文件
B. 供应商B通过快递寄送撤回书面通知，但因快递延误导致采购代理机构在截止时间后收到通知
C. 供应商B同时向采购人和采购代理机构发送撤回的书面通知，并在截止时间前重新提交新文件
D. 供应商B直接将原响应文件撕毁，然后重新制作一份新的响应文件，在截止时间前送至采购人处，未与采购人进行任何沟通说明","ABD"
"多选题","某竞争性磋商项目要求供应商提交磋商保证金，以下操作符合《政府采购竞争性磋商采购方式管理暂行办法》第十二条第一款规定的有（ ）。","A. 供应商A通过银行本票方式提交保证金，但未在响应文件中附本票复印件
B. 供应商B提交由某国有银行出具的履约保函（保函中注明“仅用于履约担保，非磋商保证金”）
C. 供应商C提交由某融资性担保公司出具的保函，并附该担保公司的融资担保业务经营许可证复印件
D. 供应商D提交由其子公司（非金融机构）出具的保函，并承诺若违约由母公司代为赔付","AC"
"多选题","某竞争性磋商项目评审结束后，采购代理机构编制的评审报告存在以下内容，根据第二十六条，必须修正或补充的有（ ）。","A. 评审情况记录中仅列明“供应商A、B、C通过资格审查”，但未说明未通过资格审查的供应商名单及原因
B. 响应文件开启日期记录为“2023年10月15日上午9:00”，但监控录像显示实际开启时间为9:15
C. 磋商小组成员名单中包含1名采购人代表，但未注明其专业背景或职务
D. 成交候选供应商排序名单中，供应商D排名第一的理由仅记载“综合评分最高”，未附具体评分明细
E. 获取磋商文件的供应商名单中遗漏了1家已缴纳保证金但未参与磋商的供应商","ABDE"
"多选题","根据《政府采购竞争性磋商采购方式管理暂行办法》，出现下列哪些情形，采购人应当终止竞争性磋商采购活动（）","A. 符合要求的供应商不足3家（本办法第二十一条第三款规定的情形和财库〔2015〕124号规定的情形除外）
B. 出现违法违规行为
C. 采购任务因重大变故取消
D. 磋商文件笔误","ABC"
"多选题","A省D市建设局的一政府采购竞争性磋商项目，采购代理机构或者采购人在组织过程中出现以下行为，违反《政府采购竞争性磋商采购方式管理暂行办法》第十七条的有（ ）。","A. 在磋商小组评审前，向评审专家暗示“供应商A的产品曾在本单位其他项目中表现优异”
B. 为方便供应商了解项目现场，单独安排供应商B在非工作时间进行实地考察
C. 在答疑会上，针对供应商C提出的“技术参数是否可放宽”问题，回复“需严格按磋商文件执行 ”
D. 向评审专家发放项目背景资料时，附上采购人倾向的供应商名单及联系方式","ABD"
