"type","question","options","answer"
"单选题","某单位需要采购一批服务器，技术标准统一，但由于信息化项目分批建设，需要在未来一年内分多次采购。此情形符合框架协议采购的哪个核心特征？","A. 单一来源采购
B. 需要多次重复采购
C. 必须进行国际招标
D. 适用于紧急采购","B"
"单选题","某集中采购机构拟采用框架协议采购方式采购办公耗材，关于其采购流程的表述，正确的是？","A. 拟定采购方案后直接实施
B. 拟定采购方案报本级财政部门备案后实施
C. 拟定采购方案报本级财政部门审核后实施
D. 无需拟定采购方案，直接发布征集公告","C"
"单选题","某主管预算单位拟采用框架协议采购方式采购法律鉴证服务，关于其采购方案管理的说法，正确的 是？","A. 需报本级财政部门审核后实施
B. 应当在采购活动开始前报本级财政部门备案
C. 无需备案或审核，自主实施即可
D. 需报上级主管部门审核后实施","B"
"单选题","某框架协议项目，面向采购人和供应商开展需求调查时，应当选择具有代表性的调查对象，调查对象一般各不少于( )个。","A. 2
B. 1
C. 3
D. 5","C"
"单选题","确定最高限制单价时，如果没有政府定价，应当如何确定？","A. 直接设定一个较低价格
B. 通过需求调查，并根据需求标准科学确定
C. 由领导拍板决定
D. 参照其他省份的价格","B"
"单选题","货物项目框架协议有效期一般不超过( )年。","A. 3
B. 1
C. 2
D. 5","B"
"单选题","服务项目框架协议有效期一般不超过( )年。","A. 3
B. 1
C. 2
D. 5","C"
"单选题","对耗材使用量大的复印、打印、实验、医疗等仪器设备进行框架协议采购的，应当要求供应商同时对()年以上约定期限内的专用耗材进行报价。","A. 2
B. 1
C. 5
D. 3","D"
"单选题","采用质量优先法的检测、实验等仪器设备采购，淘汰比例不得低于40%，且至少淘汰( )供应商。","A. 1家
B. 2家
C. 3家
D. 4家","A"
"单选题","( )应当确保征集文件和入围信息在整个框架协议有效期内随时可供公众查阅。","A. 服务对象
B. 征集人
C. 供应商
D. 采购代理机构","B"
"单选题","征集人应当在框架协议签订后( )个工作日内通过电子化采购系统将入围信息告知适用框架协议的所有采购人或者服务对象。","A. 2
B. 1
C. 5
D. 3","D"
"单选题","框架协议顺序轮候一般适用于( )。","A. 货物项目
B. 工程项目
C. 服务项目
D. 采购项目","C"
"单选题","框架协议采购二次竞价一般适用于采用( )的采购项目。","A. 价格优先法
B. 质量优先法
C. 服务优先法
D. 技术优先法","A"
"单选题","( )采购应当订立固定价格合同。","A. 合同协议
B. 框架协议
C. 采购合同
D. 招标文件","B"
"单选题","直接选定方式是确定框架协议( )成交供应商的主要方式。","A. 第一阶段
B. 第二阶段
C. 第三阶段
D. 第四阶段","B"
"单选题","某采购人在框架协议第二阶段采用二次竞价方式确定成交供应商，以下操作符合规定的是（）。","A. 以框架协议约定价格为最高限价
B. 要求供应商必须高于协议价格报价
C. 仅允许部分入围供应商参与竞价
D. 竞价后直接确定报价最高的供应商成交","A"
"单选题","某省级教育系统作为征集人，通过封闭式框架协议采购确定了一批办公耗材入围供应商，征集人在第二阶段确定成交供应商时，根据《政府采购框架协议采购方式管理暂行办法》，可采用的方式不包括（ ）。","A. 直接选定
B. 间接待定
C. 二次竞价
D. 顺序轮候","B"
"单选题","关于框架协议采购的电子化要求，下列说法错误的是？","A. 应当实行电子化采购。
B. 征集文件与入围信息随时可供公众查阅。
C. 仅接收纸质流程
D. 电子档案具有同等效力。","C"
"单选题","关于开放式框架协议采购，下列说法不符合《政府采购框架协议采购方式管理暂行办法》规定的有（ ）。","A. 供应商可在框架协议期满前随时申请加入。
B. 第二阶段成交供应商通过直接选定方式确定。
C. 征集人必须与供应商签订书面框架协议。
D. 供应商履行合同后按凭单、订单结算。","C"
"单选题","以下哪项不属于框架协议采购的特点？","A. 采购人或服务对象在入围供应商范围内确定第二阶段成交供应商。
B. 需要一次性确定最终供应商并签订采购合同。
C. 适用于技术、服务等标准明确、统一，需要多次重复采购的货物和服务。
D. 通过公开征集程序确定第一阶段入围供应商。","B"
