"type","question","options","answer"
"单选题","依法必须进行招标的工程建设项目的具体范围和规模标 准，由（）会同国务院有关部门制订","A. 国务院财政部门
B. 国务院发展改革部门
C. 国务院住房城乡建设部门
D. 国务院办公厅","B"
"单选题","根据《招标投标法实施条例》，资格预审文件或者招标 文件的发售期不得少于（）","A. 5个工作日
B. 5日
C. 7日
D. 7个工作日","B"
"单选题","根据《招标投标法实施条例》，中标候选人的经营、财 务状况发生较大变化或者存在违法行为，招标人认为可 能影响其履约能力的，应当由原评标委员会按照招标文 件规定的标准和方法审查确认。该确认的最晚时间为 （）","A. 中标候选人公示前
B. 确定中标人前
C. 发出中标通知书前
D. 签订书面合同前","C"
"单选题","根据《招标投标法实施条例》规定，依法必须进行招标 的项目，招标人应当自收到评标报告之日起3日内公示中 标候选人，公示期不得少于（）。","A. 1个工作日
B. 3个工作日
C. 3日
D. 10日","C"
"单选题","根据《招标投标法实施条例》规定，投标人在中标候选 人公示期间对评标结果提出异议，招标人应当自收到异 议之日起（）日内作出答复。","A. 3
B. 5
C. 7
D. 10","A"
"单选题","根据《招标投标法实施条例》规定，招标人最迟应当在 书面合同签订后（ ）日内向中标人和未中标的投标人 退还投标保证金及银行同期存款利息。","A. 3
B. 5
C. 7
D. 10","B"
"单选题","根据《招标投标法实施条例》，履约保证金不得超过中 标合同金额的（ ）","A. 1%
B. 2%
C. 5%
D. 10%","D"
"单选题","根据《招标投标法实施条例》，招标人在招标文件中要 求投标人提交投标保证金的，投标保证金不得超过招标 项目估算价的（）","A. 1%
B. 2%
C. 3%
D. 5%","B"
"单选题","根据《招标投标法实施条例》规定，某国有企业使用非 财政性的自有资金建设一座自用的研发中心，总投资额 高于国家规定的必须招标规模标准。根据《招标投标法 实施条例》，该项目（ ）。","A. 必须公开招标
B. 可以邀请招标
C. 采购人依法能够自行建设，可以不进行招标
D. 必须进行竞争性谈判","C"
"单选题","根据《招标投标法实施条例》，评标委员会在评审中发 现，投标人丙的投标函中承诺的项目经理姓名，与其提 交的业绩证明材料中记载的项目经理姓名有一个字同音 不同字（如“峰”与“锋”），可能为笔误。评标委员 会遂书面要求丙澄清。丙回复确认系笔误，其项目经理 实际为业绩材料中所载姓名，并附上了该经理的身份证 及社保缴纳记录复印件。对此，下列哪一说法是正确 的？","A. 澄清有效，评标委员会应以澄清后的信息为准进行评审
B. 澄清无效，因为改变了投标函这一关键文件的实质性内容
C. 澄清无效，评标委员会应直接以投标函内容为准，认定其业绩无
效
D. 评标委员会无权就此类问题要求澄清，应直接作出对其不利的推
定","A"
"多选题","根据《招标投标法实施条例》，招标人对招标文件进行 澄清或修改，可能影响投标文件编制应当（ ）","A. 以书面形式通知所有获取招标文件的潜在投标人
B. 在提交投标文件截止时间至少15日前发出通知
C. 澄清或修改的内容不构成招标文件的组成部分
D. 不足15日时，应顺延提交投标文件截止时间
E. 仅需通知提出疑问的投标人","ABD"
"多选题","《招标投标法实施条例》关于两阶段招标，下列说法正 确的有（ ）","A. 适用于技术复杂或者无法精确拟定技术规格的项目
B. 第一阶段，投标人提交带报价的技术建议
C. 第二阶段，招标人向在第一阶段提交技术建议的投标人提供招标
文件
D. 投标保证金应在第二阶段提交
E. 投标保证金应在第一阶段提交","ACD"
"多选题","根据《招标投标法实施条例》，需要履行项目审批、核 准手续的依法必须进行招标的项目，其（）应当报项目 审批、核准部门审批、核准。","A. 招标公告
B. 招标文件
C. 招标范围
D. 招标方式
E. 招标组织形式","CDE"
"多选题","根据《招标投标法实施条例》，有下列情形之一的，评 标委员会应当否决其投标：","A. 投标文件未经投标单位盖章和单位负责人签字
B. 投标报价大写金额与小写金额不一致
C. 同一投标人提交两个以上不同的投标文件
D. 投标文件没有对招标文件的实质性要求和条件作出响应
E. 投标人根据评标委员会要求对投标文件进行澄清","ACD"
"多选题","根据《招标投标法实施条例》，关于履约保证金，下列 说法符合规定的有（）","A. 招标人不得要求中标人提交现金
B. 履约保证金不得超过中标合同金额的10%
C. 中标人拒绝提交的，视为放弃中标
D. 招标人不得擅自提高履约保证金金额
E. 工程建设项目，只能采用履约保函","BCD"
"多选题","根据《招标投标法实施条例》，排名第一的中标候选人 有哪些情形（），不符合中标条件的，招标人可以按照 评标委员会提出的中标候选人名单排序依次确定其他中 标候选人为中标人，也可以重新招标。","A. 放弃中标
B. 因不可抗力不能履行合同
C. 不按照招标文件要求提交履约保证金
D. 被查实存在影响中标结果的违法行为等情形
E. 与招标人商讨合同签订事宜","ABCD"
