"type","question","options","answer"
"单选题","根据《政府采购非招标采购方式管理办法》，以下哪 种采购方式不属于该办法规范的非招标采购方式？","A. 竞争性谈判
B. 单一来源采购
C. 询价
D. 公开招标","D"
"单选题","竞争性谈判采购方式中，未达到公开招标数额标准的 货物、服务采购项目谈判小组应当由采购人代表和评 审专家共几人以上的单数组成？","A. 3人
B. 5人
C. 7人
D. 9人","A"
"单选题","根据《政府采购非招标采购方式管理办法》，达到公 开招标数额标准的货物、服务采购项目，拟采用非招 标采购方式的，采购人应当在采购活动开始前，报经 哪个部门批准？","A. 本级人民政府
B. 上级主管部门
C. 设区的市、自治州以上人民政府财政部门
D. 审计部门","C"
"单选题","采用单一来源采购方式时，采购人、采购代理机构应 当在省级以上财政部门指定媒体上进行公示，公示期 不得少于几个工作日？","A. 3个工作日
B. 5个工作日
C. 7个工作日
D. 10个工作日","B"
"单选题","谈判文件除应当包含供应商资格条件、采购预算等基 础内容外，还必须明确的可实质性变动内容不包括以 下哪项？","A. 技术要求
B. 服务要求
C. 合同草案条款
D. 供应商资质标准","D"
"单选题","达到公开招标数额标准的货物采购项目，竞争性谈判 小组的组成人数应满足以下哪项要求？","A. 3 人以上单数
B. 5 人以上单数
C. 7 人以上单数
D. 不少于 3 人即可","B"
"单选题","政府采购非招标采购项目的保证金数额上限为多少？","A. 采购项目预算的 1%
B. 采购项目预算的 2%
C. 最高不超过 5 万元
D. 最高不超过 10 万元","B"
"单选题","达到公开招标数额标准的服务采购项目，拟采用非招 标采购方式的，采购人应向哪一级人民政府财政部门 申请批准？","A. 县级以上
B. 设区的市、自治州以上
C. 省级以上
D. 国家级","B"
"单选题","竞争性谈判小组中评审专家的人数占比不得低于多少？","A. 1/2
B. 2/3
C. 3/4
D. 1/3","B"
"单选题","采用书面推荐方式选择供应商时，采购人推荐的供应 商比例不得超过推荐总数的多少？","A. 30%
B. 40%
C. 50%
D. 60%","C"
"单选题","供应商提交的响应文件在截止时间后送达的，采购人 或谈判小组应当如何处理？","A. 予以接收但不予评审
B. 拒收
C. 经采购人同意后可接收
D. 若文件齐全可接收","B"
