"type","question","options","answer"
"单选题","根据财政部令第 87 号文件规定，评标委员 会由采购人代表和评审专家组成，成员人数 应当为5人以上单数，其中评审专家不得少 于成员总数的（ ）。","A. 三分之二
B. 四分之二
C. 三分之一
D. 四分之一","A"
"单选题","根据财政部令第 87 号文件规定，投标人存在下列情况之一的，投标无效:","A. 按照招标文件的规定提交投标保证金的
B. 投标文件按招标文件要求签署、盖章的
C. 不具备招标文件中规定的资格要求的
D. 报价不超过招标文件中规定的预算金额或者最高限价","C"
"单选题","政府采购当事人违反本办法规定，给他人造成损失的，依法承担（）。","A. 民事责任
B. 刑事责任
C. 违宪责任
D. 行政责任","A"
"单选题","根据财政部令第 87 号文件规定，采购人不得向供应商索要或者接受其给予的赠品、回扣或者与采购无关的其他商品、（ ）。","A. 旅游
B. 购物
C. 服务
D. 劳务","C"
"单选题","根据财政部令第 87 号文件规定，公开招标进行资格预审的，招标公告和资格预审公告可以合并发布，招标文件（）向所有通过资格预审的供应商提供。","A. 视情况
B. 可以
C. 不得
D. 应当","D"
"单选题","根据财政部令第 87 号文件规定，采购人或者采购代理机构可以对已发出的招标文件、（ ）、投标邀请书进行必要的澄清或者修改，但不得改变采购标的和资格条件。","A. 竞争性谈判文件
B. 竞争性磋商文件
C. 资格预审文件
D. 单一来源文件","C"
"单选题","（）在履行监督管理职责中存在懒政怠政、滥用职权、玩忽职守、徇私舞弊等违法违纪行为的，依照政府采购法、《中华人民共和国公务员法》、《中华人民共和国行政监察法》、政府采购法实施条例等国家有关规定追究相应责任；涉嫌犯罪的，移送司法机关处理。","A. 财政部门及其工作人员
B. 采购人
C. 评标专家
D. 代理机构","A"
"单选题","根据财政部令第 87 号文件规定，货物项目的价格分值占总分值的比重不得低于( )；服务项目的价格分值占总分值的比重不得低于( )。执行国家统一定价标准和采用固定价格采购的项目，其价格不列为评审因素。","A. 20%,10%
B. 10%,30%
C. 30%,10%
D. 10%,20%","C"
"单选题","根据财政部令第 87 号文件规定，有关人员对评标情况以及在评标过程中获悉的（ ）、商业秘密负有保密责任。","A. 国家秘密
B. 专家名单
C. 供应商名单
D. 项目概况","A"
"单选题","根据财政部令第 87 号文件规定，采购人自行组织招标的，应当在评标结束后（ ）个工作日内确定中标人。","A. 10
B. 2
C. 5
D. 7","C"
"单选题","根据财政部令第 87 号文件规定，采购人应当及时对采购项目进行验收。采购人可以邀请参加本项目的（ ）或者第三方机构参与验收。参与验收的投标人或者第三方机构的意见作为验收书的参考资料一并存档。","A. 其他投标人
B. 评委
C. 代理机构
D. 监督员","A"
"单选题","根据财政部令第 87 号文件规定，中标结果公告内容应当包括采购人及其委托的采购代理机构的名称、地址、联系方式，项目名称和项目编号，中标人名称、地址和中标金额，主要中标标的的名称、规格型号、数量、单价、服务要求，中标公告期限以及（ ）。","A. 资格预审名单
B. 其他投标人名单
C. 中标人联系方式
D. 评审专家名单","D"
"单选题","根据财政部令第 87 号文件规定，评标结果汇总完成后，除下列情形外，任何人不得修改评标结果，选项中属于法定情形的是（ ）","A. 分值汇总计算正确的
B. 经评标委员会认定评分畸高、畸低的
C. 分项评分未超出评分标准范围的
D. 评标委员会成员对客观评审因素评分一致的","B"
"单选题","根据财政部令第 87 号文件规定，采购人、采购代理机构应当建立真实完整的（），妥善保存每项采购活动的采购文件。","A. 招标采购档案
B. 内部审查制度
C. 评标标准
D. 供应商库","A"
"单选题","根据财政部令第 87 号文件规定，招标文件的编制主体是（ ）","A. 采购人或者采购代理机构
B. 评审专家
C. 评标委员会
D. 财政监督部门","A"
"单选题","根据财政部令第 87 号文件规定，关于投标保证金与投标有效期的关系，下列说法错误的是（）","A. 投标有效期内投标人撤销投标文件，可能丧失投标保证金
B. 投标文件中承诺的投标有效期应当不少于招标文件中载明的投标有效期
C. 投标有效期从提交投标文件的截止之日起算
D. 投标保证金的有效期可短于投标有效期","D"
"单选题","根据财政部令第 87 号文件规定，某采购代理机构组织现场考察，以下做法错误的是（）","A. 组织已获取招标文件的潜在投标人现场考察
B. 未在招标文件中载明，在招标文件提供期限截止后以书面形式通知所有获取招标文件的潜在投标人组织现场考察
C. 采购人或者采购代理机构在招标文件提供期限截止后，组织现场考察
D. 随机抽取的少量投标人","D"
"单选题","某政府采购货物项目，采购人对招标文件作出澄清修改，内容影响投标文件编制，且距投标截止时间仅剩 10 日。采购人拟顺延投标截止时间，但此时因政策调整项目被取消。关于后续操作，下列说法正确的是（）","A. 继续顺延投标截止时间，要求投标人按澄清内容编制文件
B. 无需发布终止公告，仅书面通知已获取招标文件的潜在投标人即可
C. 立即启动终止招标程序，在原公告发布媒体发布终止公告，并向本级财政部门报告
D. 立即启动终止招标程序，退还所收取的招标文件费用并按中国人民银行同期贷款基准利率上浮20％后的退还投标保证金","C"
"单选题","根据财政部令第 87 号文件规定，采购人在评标前需要说明项目背景和采购需求的，下列表述错误的是（）","A. 说明内容不得含有歧视性、倾向性意见
B. 说明内容不得超出招标文件所述范围
C. 在评标过程中，采购人代表通过口头形式向评标委员会说明
D. 说明材料应当随采购文件一并存档","C"
"单选题","根据财政部令第 87 号文件规定，评标过程中，因部分评标委员会成员回避导致委员会组成不符合规定的，采购人或采购代理机构首先应当采取的措施是（）","A. 停止评标活动，封存相关资料
B. 依法补足评标委员会成员后继续评标
C. 直接重新组建评标委员会
D. 由剩余成员继续完成评标工作","B"
