"type","question","options","answer"
"单选题","购买主体向个人购买服务，应当限于确实适 宜实施政府购买服务并且由个人承接的情 形，( )以政府购买服务名义变相用工。","A. 不得
B. 可以
C. 应当
D. 应该","A"
"单选题","购买主体实施政府购买服务项目绩效管理， 应当开展事前绩效评估，定期对所购服务实 施情况开展绩效评价，具备条件的项目可以 运用（ ）评价评估。","A. 采购人
B. 专家
C. 第三方
D. 供应商","C"
"单选题","财政部门可以根据需要，对部门政府购买服 务整体工作开展绩效评价，或者对部门实施 的资金金额和社会影响大的政府购买服务项 目开展（ ）。","A. 重点审查
B. 重点绩效评价
C. 一般性审查
D. 定向审查","B"
"单选题","购买主体及财政部门应当将（ ）评价结果 作为承接主体选择、预算安排和政策调整的 重要依据。","A. 效益
B. 效率
C. 效果
D. 绩效","D"
"单选题","政府购买服务合同的签订、履行、变更，应 当遵循( )的相关规定。","A. 《中华人民共和国合同法》
B. 《中华人民共和国预算法》
C. 《中华人民共和国劳动法》
D. 《中华人民共和国招标投标法》","A"
"单选题","购买主体应当与确定的承接主体签订（ ），合同约定的服务内容应当符合本办法第 九条、第十条的规定。","A. 劳务合同
B. 电子合同
C. 书面合同
D. 担保合同","C"
"单选题","政府购买服务合同（ ）依法予以公告。","A. 应当
B. 视情况
C. 可以
D. 应该","A"
"单选题","政府购买服务合同履行期限一般不超过1年； 在预算保障的前提下，对于购买内容相对固 定、连续性强、经费来源稳定、价格变化幅 度小的政府购买服务项目，可以签订履行期 限不超过（ ）年的政府购买服务合同。","A. 5
B. 3
C. 2
D. 1","B"
"单选题","购买主体( )以任何形式为承接主体的融资 行为提供担保。","A. 不得
B. 可以
C. 应当
D. 视情况","A"
"单选题","为规范政府购买服务行为，促进转变政府职能，改善公共服务供给，根据《中华人民共和国预算法》《中华人民共和国政府采购法》《中华人民共和国合同法》等（ ）的规定，制定本办法。","A. 法律、行政法规和规章
B. 法律、行政法规
C. 法律、行政法规和政策
D. 法律、行政法规、规章和政策","B"
"单选题","本办法所称政府购买服务，是指各级国家机 关将属于自身职责范围且适合通过（ ）方 式提供的服务事项，按照政府采购方式和程 序，交由符合条件的服务供应商承担，并根 据服务数量和质量等因素向其支付费用的行为。","A. 合理化
B. 市场化
C. 效益化
D. 法制化","B"
"单选题","财政部负责制定（ ）政府购买服务制度，指导和监督各地区、各部门政府购买服务工作。","A. 全国性
B. 中央和省级
C. 市级
D. 地方性","A"
"单选题","公益一类事业单位、使用事业编制且由财政 拨款保障的群团组织，不作为政府购买服务 的（ ）和（ ）。","A. 使用主体、购买主体
B. 承接主体、适用主体
C. 购买主体、承接主体
D. 实施主体、承包主体","C"
"单选题","政府购买服务的（ ）和（ ）实行指导性 目录管理，指导性目录依法予以公开。","A. 具体范围、内容
B. 方式、程序
C. 法律、行政法规
D. 政策、责任","A"
"单选题","根据财政部令第102号规定，编制、调整指导性目录应当充分征求相关部门意见，根据（）进行专家论证。","A. 项目特点
B. 实际需要
C. 采购人要求
D. 预算金额","B"
"单选题","政府购买服务支出应当符合（）有关规定。","A. 预算管理
B. 合同管理
C. 绩效管理
D. 审计管理","A"
"单选题","承接主体应当严格遵守相关（）规定，规范 管理和使用政府购买服务项目资金。","A. 服务交付
B. 信息披露
C. 财务
D. 合同","C"
"单选题","承接主体（ ）依法依规使用政府购买服务合 同向金融机构融资。","A. 不得以
B. 可以
C. 经采购人同意
D. 视情况","B"
"单选题","关于政府购买服务的预算管理，下列说法符 合《政府购买服务管理办法》规定的是","A. 政府购买服务项目可以不纳入部门预算编制范围，在执行中通过调整预算列支
B. 购买主体应当在年度预算编制前，结合政府购买服务目录，测算购买服务资金需求，编入年度预算
C. 对于临时性、应急性的政府购买服务项目，可先实施购买，再补办预算审批手续
D. 政府购买服务资金可从财政拨款、预算外资金、事业收入等多种渠道统筹安排，无需区分资金来源","B"
"单选题","根据《政府购买服务管理办法》，下列服务 事项中，不属于政府购买服务范围的是","A. 某街道办事处委托社会组织开展社区老年人健康档案建立与管理服务
B. 某县级人民政府委托专业机构开展本级政府规划的前期调研与论证服务
C. 某公立小学委托第三方机构为本单位提供办公设备的维修保养服务
D. 某省级人民政府为履行宏观调控职能，委托科研机构开展经济运行分析与政策研究服务","C"
"单选题","关于政府购买服务的合同管理，下列表述错 误的是","A. 政府购买服务合同应当采用书面形式，明确服务的内容、期限、数量、质量、价格等要素
B. 购买主体与承接主体签订的合同，不得约定由承接主体垫资提供服务
C. 承接主体经购买主体同意可以将政府购买服务项目转包给其他主体，也可依法依规进行分包
D. 政府购买服务合同履行期限一般不超过 1 年，对于长期性服务项目，可签订不超过 3 年的合同","C"
"单选题","在政府购买服务的绩效评价环节，下列做法 不符合《政府购买服务管理办法》要求的是","A. 购买主体应当结合服务项目特点，科学设定绩效目标和指标，开展绩效评价
B. 绩效评价结果应当作为以后年度编制政府购买服务预算、选择承接主体的重要依据
C. 对于重大的政府购买服务项目，可以委托第三方机构开展绩效评价
D. 绩效评价工作可在服务项目全部完成后一次性开展，无需进行过程性评价","D"
"单选题","根据《政府购买服务管理办法》，以下哪项 纳入政府购买服务范围","A. 属于政府职责范围的服务事项
B. 应当由政府直接履职的事项
C. 购买主体以劳务派遣方式用工
D. 政府采购法律、行政法规规定的货物和工程，以及将工程和服务打
包的项目","A"
"单选题","根据《政府购买服务管理办法》，以下哪项 说法正确","A. 城区新建水电站项目可以用政府购买服务
B. 政府购买服务可以“一次招标，签约三年”
C. 政府向非金融机构提供的融资可以用政府购买服务
D. 公益一类事业单位需要开通专项服务热线可以用政府购买服务","B"
"单选题","以下政府购买服务项目资金管理的表述，符 合规定的是","A. 政府购买服务项目所需资金可在预算执行过程中临时申请追加，无
需提前纳入部门预算统筹安排
B. 未列入年度部门预算但已纳入中期财政规划的政府购买服务项目，
可先行组织实施，后补预算手续
C. 政府购买服务项目资金安排应当与中期财政规划相衔接，未被列入
部门预算的项目一律不得实施
D. 为满足突发公共服务需求，购买主体可先实施政府购买服务项目，
再将所需资金补入中期财政规划","C"
"单选题","关于购买主体确定承接主体的要求，下列说 法正确的是","A. 购买主体在确定承接主体时，若某一供应商的服务报价远低于市场
平均水平，可直接将其确定为承接主体，无需考虑服务能力
B. 为提升采购效率，购买主体可根据过往合作经验，直接指定长期合
作的供应商作为承接主体，无需开展公平竞争的程序
C. 购买主体应当结合购买内容、市场供需状况、供应商服务能力及信
用状况等因素，通过公平竞争方式择优确定承接主体
D. 对于技术外包类服务项目，购买主体可优先选择当前具有政府背景
的供应商，无需考虑当前信用状况","C"
"单选题","关于政府购买服务合同履行期限，下列说法 错误的是","A. 常规政府购买服务合同履行期限一般不得超过 1 年
B. 满足 “购买内容相对固定、连续性强” 等条件的项目，合同履行
期限可突破 1 年限制
C. 符合特殊条件的政府购买服务项目，在预算保障的前提下，合同履
行期限最长可至 3 年
D. 经费来源稳定、价格变化幅度小的政府购买服务项目，无需预算保
障即可签订最长期限 3 年的合同","D"
"单选题","关于政府购买服务的内容范围，下列说法准 确且全面的是","A. 仅包含政府向社会公众提供的公共服务
B. 仅包含政府履职所需的各类服务
C. 包含政府向社会公众提供的公共服务，以及政府履职所需辅助性服务
D. 涵盖所有满足日常需求覆盖所有满足日常需求的政府内部服务和外部服务","C"
"单选题","关于政府购买服务项目承接主体的履约要 求，下列说法错误的是","A. 承接主体需严格按照签订的书面合同约定，全面、按时、保质提供服务
B. 承接主体在遇到履约困难时，不得将服务项目整体转包给其他任何主体
C. 承接主体经购买主体事先同意，将部分辅助性工作分包给第三方，不视为转包违规
D. 承接主体若因人员变动难以履约，可直接将服务项目转包给具备同等覆盖能力的新主体","D"
