"type","question","options","answer"
"单选题","本办法所称政府采购需求管理，是指采购人组织确定采购需求和编制（），并实施相关风险控制管理的活动。","A. 采购预算
B. 采购实施计划
C. 采购方式
D. 采购代理机构","B"
"单选题","采购需求管理应当遵循（）的原则。","A. 科学合理、厉行节约、规范高效、权责清晰
B. 公开、公平、公正
C. 质量优先、价格合理
D. 谁采购、谁负责","A"
"单选题","采购人对采购需求管理负有（）责任（）","A. 主体
B. 监督
C. 指导
D. 协助","A"
"单选题","以下哪条不属于政府采购需求管理办法所称的采购需求（）。","A. 采购人为实现项目目标，拟采购的标的
B. 需要满足的技术要求
C. 需要满足的商务要求
D. 采购人的所有要求","D"
"单选题","采购需求应当依据（）确定。","A. 单位预算
B. 采购预算
C. 部门预算（工程项目概预算）
D. 批注预算","C"
"单选题","( )以上的货物、服务采购项目，应当开展需求调查。","A. 日00万元
B. 1000万元
C. 2000万元
D. 3000万元","B"
"单选题","( )以上的工程采购项目，应当开展需求调查。","A. 1000万元
B. 2000万元
C. 3000万元
D. 5000万元","C"
"单选题","编制采购需求前（）内，采购人已就相关采购标的开展过需求调查的可W不再重复开展。","A. 两年
B. 三年
C. 一年
D. 一年半","C"
"单选题","根据《政府采购需求管理办法》，业绩情况作为资格条件时，要求供应商提供的同类业务合同一般不超过（）个，并明确同类业务的具体范围。","A. 5
B. 4
C. 3
D. 2","D"
"单选题","除法律法规规定可以在有限范围肉竞争或者只能从唯一供应商处采购的情形外，一般采用（）邀请供应商参与政府采购活动。","A. 公开方式
B. 不公开方式
C. 特别方式
D. 非特别方式","A"
"单选题","参与确定采购需求和编制采购实施计划的专家和第三方机构（）参与审查。","A. 不得
B. 可以
C. 需要
D. 视情况","A"
"单选题","以下选项中，属于采购需求客观、明确且规格、标准统一的采购项目的是（ ) 。","A. 物业管理
B. 咨询服务
C. 设计服务
D. 政府和社会资本合作","A"
"单选题","合同类型按照民法典规定的（）类别，结合采购标的的实际情况确定。","A. 非典型合同
B. 典型合同
C. 无名合同
D. 源合合同","B"
"单选题","根据《政府采购需求管理办法》第三十王条第二款，涉及公共利益、社会关注度较高的采购项目（）开展重点审查。","A. 视情况
B. 应当
C. 需要
D. 可以","B"
"单选题","因采购人不可预见的紧急情况实施采购的，（）相关管理要求。","A. 不可以简化
B. 可以适当简化
C. 应当简化
D. 视情况简化","B"
"单选题","关于采购需求，以下说法正确的是（ ) 。","A. 采购需求应当符合法律法规、政府采购政策和国家有关规定
B. 采购需求可以指定货物的品牌，以利于准确描述
C. 采购需求中的技术要求和商务条件可以直接引用某一品牌特有的标准
D. 为节约成本，采购需求可以不必考虑公共利益","A"
"单选题","采购人可以根据需要，面向（）开展需求调查。","A. 潜在供应商
B. 专家
C. 市场主体
D. 所有选项均正确","D"
"单选题","采购实施计划不包括（）。","A. 采购项目预（概）算、最高限价
B. 采购标的的性能、质量、数量、标准等
C. 合同类型、定价方式
D. 采购组织形式、采购方式","B"
"单选题","采购人应当根据（）确定采购方式。","A. 采购预算金额大小
B. 符合法定适用情形和采购需求特点
C. 主管预算单位的指令
D. 潜在供应商的数量","B"
"单选题","根据《政府采购需求管理办法》，下列错误的是() 0","A. 采购人可以自行组织确定采购需求和编制采购实施计划
B. 采购人可以委托采购代理机构确定采购需求和编制采购实施计划
C. 采购人可以委托第王方机构确定采购需求和编制采购实施计划
D. 采购人必须委托采购代理机构确定采购需求和编制采购实施计划","D"
"单选题","下列不属于政府采购风险控制中非歧视性审查内容的是（）。","A. 是否指向特定供应商或者特定产品，包括资格条件设置是否合理，要求供应商提供超过2个同类业务合同的，是否具有合理性
B. 技术要求是否指向特定的专利、商标、品牌、技术路线等
C. 评审因素设置是否具有倾向性，将有关履约能力作为评审因素是否适当
D. 是否确保充分竞争，包括应当以公开方式邀请供应商的，是否依法采用公开竞争方式","D"
"单选题","下列不属于政府采购风险控制中一般性审查内容的是（）。","A. 采购需求是否符合预算、资产、财务等管理制度规定
B. 对采购方式、评审规则、合同类型、定价方式的选择是否说明适用巧.由
C. 属于按规定需要报相关监管部门批准、核准的事项，是否作出相关安排
D. 是否指向特定供应商或者特定产品","D"
"单选题","下列不属于政府采购风险控制中重点审查内容的是（）。","A. 技术要求是否指向特定的技术路线
B. 属于按规定需要报相关监管部门批准、核准的事项，是否作出相关安排
C. 合同文本是否按规定由法律顾问审定
D. 是否明确知识产权等方面的要求","B"
"单选题","财政部门应当依法加强对政府采购需求管理的监督检查，将采购人需求管理作为政府采购活动监督检查的重要肉容，不定期开展监督检查工作，（）应当如实反映情况，提供有关材料","A. 采购人
B. 采购代理机构
C. 采购人上级部门
D. 采购人负责人","A"
